,wage,hours,IQ,KWW,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc,lwage
884,642,35,87,26,13,9,3,30,1,0,1,0,10,10,4,10,6.464588165
886,900,40,80,34,10,15,14,38,1,0,1,0,3,3,12,10,6.802394867
887,513,40,104,40,16,8,10,33,1,0,1,0,5,2,12,10,6.24027586
888,894,40,104,35,18,7,10,35,1,0,1,0,7,8,9,8,6.795705795
889,1282,60,96,24,18,7,5,32,1,0,1,1,4,2,12,18,7.156176567
890,485,40,89,24,12,10,9,30,0,0,1,0,4,3,12,18,6.184148788
891,325,55,113,39,12,11,5,29,1,0,1,0,1,2,10,13,5.783825397
892,769,45,105,29,12,16,5,33,1,0,1,0,4,1,7,7,6.645091057
893,618,40,84,39,14,6,8,31,0,0,1,1,7,8,7,4,6.4264884
894,1040,48,108,36,12,16,17,35,1,0,1,1,6,7,7,3,6.946976185
895,751,40,104,32,12,15,4,34,1,0,1,1,4,3,8,3,6.621405602
896,380,50,106,28,12,15,11,30,1,0,1,0,2,1,7,7,5.940171242
898,753,46,70,34,10,21,7,38,1,0,1,1,4,2,12,7,6.624065399
899,1065,65,104,39,16,10,11,34,1,0,1,1,2,3,11,12,6.970730305
900,1070,40,91,42,12,13,1,30,1,0,0,1,1,2,14,12,6.975413799
901,1573,55,112,42,18,7,8,34,1,0,1,1,1,1,14,18,7.360739708
902,650,40,97,27,10,14,9,30,1,0,1,0,5,1,12,9,6.47697258
903,700,45,99,40,12,15,7,32,1,0,1,0,4,2,10,10,6.551080227
907,891,40,90,36,12,16,16,32,1,0,1,0,5,5,12,9,6.79234457
909,1444,40,109,33,15,11,1,29,1,0,1,1,2,1,11,9,7.275172234
911,500,44,107,40,12,21,12,38,1,0,1,0,2,NA,12,7,6.214608192
912,1473,40,110,48,16,15,15,36,1,0,1,0,1,2,12,14,7.295056343
913,803,40,120,35,13,4,1,28,1,0,1,1,3,4,10,12,6.688354492
914,962,50,97,34,16,7,2,30,1,0,1,1,0,1,12,12,6.869014263
916,600,40,114,36,16,5,4,30,1,0,1,1,2,1,12,12,6.396929741
917,450,40,95,31,11,12,2,30,1,0,1,0,2,3,8,8,6.109247684
918,629,60,93,32,12,6,1,30,1,1,1,0,8,3,10,6,6.444131374
920,1562,40,97,28,17,7,2,32,1,0,1,1,5,1,12,13,7.353722095
921,357,70,97,34,14,6,3,28,1,0,1,0,1,2,13,16,5.877735615
923,566,45,104,46,16,5,2,32,1,0,1,0,1,2,12,12,6.33859396
924,481,40,82,27,12,9,2,32,1,0,1,0,2,2,12,8,6.175867081
925,1442,40,113,45,16,8,10,35,1,0,1,1,2,2,8,8,7.273786545
926,645,45,93,39,12,11,3,35,1,0,1,0,7,7,7,8,6.469250202
929,477,45,100,33,12,9,3,31,1,0,1,0,3,3,7,7,6.167516708
930,664,60,82,30,16,10,9,34,1,1,1,1,3,4,16,16,6.498281956
932,1202,40,102,32,13,10,3,31,1,0,1,1,7,7,8,6,7.091742039
